ID,Kieli,Lekseemi,Sanaluokka,Jatkoleksikko,Taivutustyyppi
93,sms,skoolčtum,A,A_,X
99,sms,pääiklaž,A,A_MEERSAZH,1
100,sms,pääiklõs,A,A-ATTR_,X
101,sms,totšnai,A,A_ZHEEVAI,X
125,sms,ââldavuõiʹnni,A,A_,X
137,sms,ävvneei,A,A_PRSPRC-EEI,3
141,sms,kaiggneei,A,A_PRSPRC-EEI,3
142,sms,kääiǥeei,A,A_PRSPRC-EEI,3
169,sms,älddõk,A,A_SAJOS,1
214,sms,tuärjjeei,A,A_PRSPRC-EEI,3
215,sms,nââneei,A,A_PRSPRC-EEI,3
216,sms,kõssnallšem,A,A_NALLSHEM,1
221,sms,čeäkkreei,A,A_PRSPRC-EEI,3
238,sms,raʹddjõõlaž,A,A_MEERSAZH,1
247,sms,reppai,A,A_SAELTTAI,X
299,sms,čaʹppespiiutâs,A,A_,X
309,sms,juõnn,A,A-ATTR_,X
310,sms,juõʹnni,A,A_JIOQNNI,X
435,sms,tuäŋkõs,A,A-ATTR_,X
436,sms,tuäŋkai,A,A_SAELTTAI,X
472,sms,piʹlǩǩi,A,A_PRSPRC-VXYY-I,X
474,sms,seeičõʹstti,A,A_PRSPRC-VXYY-I,X
483,sms,kuâlddjeei,A,A_PRSPRC-EEI,3
484,sms,väcckjeei,A,A_PRSPRC-EEI,3
509,sms,udaʹm,A,A_,X
519,sms,kõnnjldõõtti,A,A_PRSPRC-VVCC-I,X
534,sms,tääʹrǩes,A,A-ATTR_,X
573,sms,tiârkk,A,A_MIYRKK,1
589,sms,sääʹmveârlaž,A,A_MEERSAZH,1
609,sms,vâʹllj,A,A_,X
654,sms,njââlteei,A,A_PRSPRC-EEI,3
672,sms,paarrdõõtti,A,A_PRSPRC-VVCC-I,X
673,sms,kõrrneei,A,A_PRSPRC-EEI,3
674,sms,pâjjneei,A,A_PRSPRC-EEI,3
676,sms,kõskkuum,A,A_PSS-PRFPRC,X
690,sms,moččumus,A,A_,X
692,sms,påǥsteei,A,A_PRSPRC-EEI,3
723,sms,måtamnallšem,A,A_NALLSHEM,1
740,sms,äävai,A,A_SAELTTAI,X
751,sms,sǩeârmtõõvvi,A,A_PRSPRC-VVCC-I,X
752,sms,veiʹǧǧeei,A,A_PRSPRC-EEI,3
776,sms,suutksaž,A,A_MEERSAZH,1
796,sms,njeäʹđes,A,A-ATTR_,X
798,sms,čoouǥas,A,A_VEEIDAS,X
799,sms,sääuʹres,A,A-ATTR_,X
800,sms,teäsnõs,A,A-ATTR_,X
801,sms,kõrr,A,A-ATTR_,X
802,sms,teäsnai,A,A_SAELTTAI,X
803,sms,nagg,A,A-ATTR_,X
804,sms,teäsan,A,A_,X
818,sms,soojeei,A,A_PRSPRC-EEI,3
824,sms,tähttai,A,A_SAELTTAI,X
825,sms,tähttas,A,A-ATTR_,X
890,sms,ǩeäʹppsõs,A,A-ATTR_,X
892,sms,vuâđđõõvvi,A,A_PRSPRC-VVCC-I,X
971,sms,rõõpptõõtti,A,A_PRSPRC-VVCC-I,X
980,sms,vuõkksõs,A,A-ATTR_,X
981,sms,vuõǥǥâs,A,A_JUYGXGXAS,2
987,sms,ǩeʹnnvõs,A,A-ATTR_,X
1016,sms,puäʒʒteʹm,A,A_NALLSHEM,1
1017,sms,puäʒʒtem,A,A_NALLSHEM,1
1026,sms,maanni,A,A_PRSPRC-VVCC-I,X
1027,sms,faʹlsǩeei,A,A_PRSPRC-EEI,3
1028,sms,maansõs,A,A-ATTR_,X
1032,sms,puâllʼjeei,A,A_PRSPRC-EEI,3
1064,sms,läiʹvv,A,A_JAUQRR,1
1065,sms,lääiʹves,A,A-ATTR_,X
1117,sms,toolkvâs,A,A-ATTR_,X
1118,sms,jieʹrmes,A,A-ATTR_,X
1119,sms,hitrai,A,A_ZHEEVAI,X
1120,sms,toolkav,A,A_AANAR,2
1130,sms,mââibuž,A,A_PIISSUZH,X
1131,sms,tuâǥǥbuž,A,A_,X
1165,sms,žääʹrkõs,A,A-ATTR_,X
1166,sms,žäärak,A,A_KOALVAK,2
1170,sms,kââmteei,A,A_PRSPRC-EEI,3
1171,sms,kõčči,A,A_PRSPRC-VCC-I,X
1172,sms,šluäʹđteei,A,A_PRSPRC-EEI,3
1173,sms,čäävteei,A,A_PRSPRC-EEI,3
1245,sms,uʹvddi,A,A_PRSPRC-VHYY-I,X
1269,sms,jukkõõttâm,A,A_AANAR,2
1283,sms,jiõggtem,A,A_NALLSHEM,1
1284,sms,jiõggteʹm,A,A_NALLSHEM,1
1285,sms,jaamâs,A,A_,X
1286,sms,jaamm,A,A-ATTR_,X
1292,sms,vååstar,A,A_,X
1293,sms,måtkkai,A,A_SAELTTAI,X
1294,sms,måtkksõs,A,A-ATTR_,X
1326,sms,čokkneei,A,A_PRSPRC-EEI,3
